"Place_names_normalised_spanish","count","percentage","total_occurrences"
"Almonte",3,0.0355956336022781,4
"Amberes",3,0.0355956336022781,7
"Anamur",3,0.0355956336022781,8
"Ancona",3,0.0355956336022781,9
"Apeninos",3,0.0355956336022781,3
"Arcila",3,0.0355956336022781,7
"Arlanza",3,0.0355956336022781,4
"Ártico",3,0.0355956336022781,3
"Aseo",3,0.0355956336022781,3
"Badajoz",3,0.0355956336022781,6
"Bavaria",3,0.0355956336022781,3
"Britania",3,0.0355956336022781,3
"Bujía",3,0.0355956336022781,6
"Calle de Toledo",3,0.0355956336022781,3
"Capua",3,0.0355956336022781,3
"Carabanchel",3,0.0355956336022781,3
"Caramania",3,0.0355956336022781,3
"Cártama",3,0.0355956336022781,26
"Castilla la Vieja",3,0.0355956336022781,3
"Comares",3,0.0355956336022781,3
"Congo",3,0.0355956336022781,3
"Corfu",3,0.0355956336022781,5
"Cubagua",3,0.0355956336022781,3
"Dacia",3,0.0355956336022781,7
"Delfos",3,0.0355956336022781,3
"Erimanto",3,0.0355956336022781,3
"Estela",3,0.0355956336022781,5
"Estremoz",3,0.0355956336022781,3
"Florida",3,0.0355956336022781,3
"Iberia",3,0.0355956336022781,8
"Irún",3,0.0355956336022781,4
"Java",3,0.0355956336022781,3
"La Gomera",3,0.0355956336022781,6
"Lerma",3,0.0355956336022781,24
"Lieja",3,0.0355956336022781,7
"Lorca",3,0.0355956336022781,12
"Lugo",3,0.0355956336022781,3
"Madián",3,0.0355956336022781,11
"Maguncia",3,0.0355956336022781,5
"Malinas",3,0.0355956336022781,3
"Marbella",3,0.0355956336022781,3
"Martos",3,0.0355956336022781,5
"Masalanca",3,0.0355956336022781,3
"Mauritania",3,0.0355956336022781,3
"Mazagán",3,0.0355956336022781,6
"Medina Sidonia",3,0.0355956336022781,7
"Mesopotamia",3,0.0355956336022781,6
"Misia",3,0.0355956336022781,3
"Moab",3,0.0355956336022781,3
"Monforte",3,0.0355956336022781,3
"Montalbán",3,0.0355956336022781,22
"Monte Tabor",3,0.0355956336022781,5
"Montilla",3,0.0355956336022781,4
"Osuna",3,0.0355956336022781,5
"Palacio de Bibataubín",3,0.0355956336022781,5
"Peloponeso",3,0.0355956336022781,3
"Piamonte",3,0.0355956336022781,4
"Pisa",3,0.0355956336022781,3
"Plaza de la Olivera",3,0.0355956336022781,3
"Pomas",3,0.0355956336022781,3
"Puerta del Sol",3,0.0355956336022781,3
"Río de la Plata",3,0.0355956336022781,4
"Ruisellón",3,0.0355956336022781,11
"Rusia",3,0.0355956336022781,7
"Saba",3,0.0355956336022781,3
"San Ginés",3,0.0355956336022781,3
"San Juan de Luz",3,0.0355956336022781,3
"San Marcos",3,0.0355956336022781,3
"Santa María",3,0.0355956336022781,7
"Segorbe",3,0.0355956336022781,7
"Tarragona",3,0.0355956336022781,3
"Teruel",3,0.0355956336022781,7
"Tormes",3,0.0355956336022781,3
"Trapisonda",3,0.0355956336022781,3
"Trujillo",3,0.0355956336022781,6
"Urgel",3,0.0355956336022781,4
"Vandalia",3,0.0355956336022781,3
"Vera",3,0.0355956336022781,3
"Abruzzo",2,0.0237304224015187,2
"Aguas Muertas",2,0.0237304224015187,2
"Alburquerque",2,0.0237304224015187,2
"Alcázar",2,0.0237304224015187,2
"Aldehuela",2,0.0237304224015187,12
"Alentejo",2,0.0237304224015187,2
"Algaba",2,0.0237304224015187,2
"Alhama",2,0.0237304224015187,11
"Almagro",2,0.0237304224015187,5
"Almansa",2,0.0237304224015187,2
"Almenara",2,0.0237304224015187,2
"Altamira",2,0.0237304224015187,2
"Amaltea",2,0.0237304224015187,2
"Anatolia",2,0.0237304224015187,2
"Andaya",2,0.0237304224015187,2
"Aqueronte",2,0.0237304224015187,2
"Aquisgrana",2,0.0237304224015187,4
"Ardenia",2,0.0237304224015187,5
"Arenal",2,0.0237304224015187,2
"Arévalo",2,0.0237304224015187,2
"Argentina",2,0.0237304224015187,2
"Arjona",2,0.0237304224015187,2
"Asiria",2,0.0237304224015187,9
"Axarquía",2,0.0237304224015187,3
"Belmirar",2,0.0237304224015187,4
"Bética",2,0.0237304224015187,3
"Biarne",2,0.0237304224015187,2
"Bizancio",2,0.0237304224015187,2
"Brabante",2,0.0237304224015187,2
"Cabo de Buena Esperanza",2,0.0237304224015187,2
"Cabo de Gata",2,0.0237304224015187,2
"Cabo de San Vicente",2,0.0237304224015187,2
"Cabra",2,0.0237304224015187,2
"Calahorra",2,0.0237304224015187,2
"Calés",2,0.0237304224015187,2
"Calle de Santiago",2,0.0237304224015187,2
"Canaán",2,0.0237304224015187,14
"Cantillana",2,0.0237304224015187,2
"Caria",2,0.0237304224015187,2
"Caribe",2,0.0237304224015187,2
"Carpacio",2,0.0237304224015187,2
"Carrión de los Condes",2,0.0237304224015187,2
"Castillanzul",2,0.0237304224015187,2
"Castilleja",2,0.0237304224015187,2
"Castilnovo",2,0.0237304224015187,3
"Catedral basílica de Nuestra Señora del Pilar",2,0.0237304224015187,2
"Cervera",2,0.0237304224015187,2
"Cilicia",2,0.0237304224015187,2
"Cleves",2,0.0237304224015187,3
"Covadonga",2,0.0237304224015187,2
"Cracovia",2,0.0237304224015187,2
"Cremona",2,0.0237304224015187,2
"Dueñas",2,0.0237304224015187,3
"Engaddí",2,0.0237304224015187,2
"Eritrea",2,0.0237304224015187,2
"Esgueva",2,0.0237304224015187,2
"Estella",2,0.0237304224015187,2
"Etruria",2,0.0237304224015187,2
"Éufrates",2,0.0237304224015187,2
"Famagusta",2,0.0237304224015187,7
"Finisterre",2,0.0237304224015187,2
"Frigia",2,0.0237304224015187,2
"Fuente del Sauco",2,0.0237304224015187,2
"Fuentes",2,0.0237304224015187,2
"Galaad",2,0.0237304224015187,2
"Galacia",2,0.0237304224015187,3
"Gandía",2,0.0237304224015187,2
"Gelves",2,0.0237304224015187,2
"Generalife",2,0.0237304224015187,2
"Gran Canaria",2,0.0237304224015187,9
"Guadalcázar",2,0.0237304224015187,2
"Guadix",2,0.0237304224015187,2
"Guipúzcoa",2,0.0237304224015187,2
"Helicona",2,0.0237304224015187,2
"Henares",2,0.0237304224015187,2
"Hipona",2,0.0237304224015187,4
"Huesca",2,0.0237304224015187,19
"Huete",2,0.0237304224015187,2
"Iglesia de San Miguel el Alto",2,0.0237304224015187,3
"Islandia",2,0.0237304224015187,2
"La Española",2,0.0237304224015187,2
"Languedoc",2,0.0237304224015187,2
"Larache",2,0.0237304224015187,2
"Las Yeguas",2,0.0237304224015187,2
"Lavapiés",2,0.0237304224015187,2
"Leganés",2,0.0237304224015187,3
"Lérida",2,0.0237304224015187,7
"Lozoya",2,0.0237304224015187,2
"Luxemburgo",2,0.0237304224015187,4
"Madalena",2,0.0237304224015187,2
"Magdalo",2,0.0237304224015187,2
"Malaca",2,0.0237304224015187,3
"Malindi",2,0.0237304224015187,2
"Mambré",2,0.0237304224015187,6
"Mansilla",2,0.0237304224015187,2
"Mar Caspio",2,0.0237304224015187,2
"Marne",2,0.0237304224015187,2
"Mazalquivir",2,0.0237304224015187,2
"Medellín",2,0.0237304224015187,2
"Media",2,0.0237304224015187,5
"Medinaceli",2,0.0237304224015187,3
"Mirabel",2,0.0237304224015187,3
"Monte Betel",2,0.0237304224015187,2
"Monte Sinaí",2,0.0237304224015187,2
"Montes Claros",2,0.0237304224015187,2
"montes Rifeos",2,0.0237304224015187,2
"Montpellier",2,0.0237304224015187,2
"Morón",2,0.0237304224015187,2
"Mosa",2,0.0237304224015187,2
"Moscovia",2,0.0237304224015187,16
"Móstoles",2,0.0237304224015187,4
"Mozambique",2,0.0237304224015187,2
"Nájera",2,0.0237304224015187,2
"Niza",2,0.0237304224015187,6
"Normandía",2,0.0237304224015187,2
"Ofir",2,0.0237304224015187,2
"Olías",2,0.0237304224015187,4
"Olmedo",2,0.0237304224015187,11
"Orihuela",2,0.0237304224015187,2
"Otranto",2,0.0237304224015187,4
"Padua",2,0.0237304224015187,2
"Palenzuela",2,0.0237304224015187,2
"Patmos",2,0.0237304224015187,3
"Peñaflor",2,0.0237304224015187,2
"Pescara",2,0.0237304224015187,3
"Piedrahita",2,0.0237304224015187,7
"Pirámides",2,0.0237304224015187,2
"Plaza Mayor",2,0.0237304224015187,2
"Plemúa",2,0.0237304224015187,3
"Quivira",2,0.0237304224015187,2
"Requena",2,0.0237304224015187,2
"Ribadeo",2,0.0237304224015187,7
"Rin",2,0.0237304224015187,2
"Roncesvalles",2,0.0237304224015187,6
"Saldaña",2,0.0237304224015187,2
"San Agustín",2,0.0237304224015187,2
"San Andrés",2,0.0237304224015187,4
"San Antón",2,0.0237304224015187,3
"San Felipe",2,0.0237304224015187,5
"San Francisco",2,0.0237304224015187,2
"San Luis",2,0.0237304224015187,3
"San Miguel",2,0.0237304224015187,2
"Santarén",2,0.0237304224015187,5
"Santo Domingo",2,0.0237304224015187,2
"Saona",2,0.0237304224015187,2
"Sarrià",2,0.0237304224015187,4
"Seleucia",2,0.0237304224015187,2
"Selín",2,0.0237304224015187,2
"Senir",2,0.0237304224015187,2
"Sigüenza",2,0.0237304224015187,3
"Sobrarbe",2,0.0237304224015187,2
"Sodoma",2,0.0237304224015187,2
"Suecia",2,0.0237304224015187,9
"Tabladillo",2,0.0237304224015187,2
"Tafalla",2,0.0237304224015187,2
"Tafilete",2,0.0237304224015187,2
"Tambico",2,0.0237304224015187,2
"Tanais",2,0.0237304224015187,2
"Tarsus",2,0.0237304224015187,5
"Terranova",2,0.0237304224015187,3
"Tibar",2,0.0237304224015187,2
"Tiopia",2,0.0237304224015187,2
"Toro",2,0.0237304224015187,8
"Torres Bermejas",2,0.0237304224015187,5
"Tortosa",2,0.0237304224015187,2
"Toscana",2,0.0237304224015187,3
"Turín",2,0.0237304224015187,2
"Turquestán",2,0.0237304224015187,2
"Valaquia",2,0.0237304224015187,4
"Valenzuela",2,0.0237304224015187,2
"Vesubio",2,0.0237304224015187,2
"Viana",2,0.0237304224015187,2
"Villahermosa",2,0.0237304224015187,2
"Zarza",2,0.0237304224015187,2
"Abarima",1,0.0118652112007594,1
"Abenamar",1,0.0118652112007594,1
"Abenaya",1,0.0118652112007594,1
"Acroya",1,0.0118652112007594,1
"Advares",1,0.0118652112007594,1
"Agramonte",1,0.0118652112007594,1
"Agurlema",1,0.0118652112007594,1
"Aibar",1,0.0118652112007594,1
"Al ‘Ayzarīyah",1,0.0118652112007594,1
"Al Jib",1,0.0118652112007594,1
"Alanís",1,0.0118652112007594,1
"Alarcón",1,0.0118652112007594,1
"Albufera",1,0.0118652112007594,1
"Alcaidía",1,0.0118652112007594,4
"Alcalá del Río",1,0.0118652112007594,1
"Alcaraz",1,0.0118652112007594,1
"Alcasarquivir",1,0.0118652112007594,1
"Alcaudete",1,0.0118652112007594,1
"Alcázar de Sevilla",1,0.0118652112007594,6
"Alcázar de Toledo",1,0.0118652112007594,1
"Alcobendas",1,0.0118652112007594,1
"Alcúdia",1,0.0118652112007594,1
"Alerán",1,0.0118652112007594,1
"Alfaques",1,0.0118652112007594,1
"Alhajara",1,0.0118652112007594,1
"Alhama de Murcia",1,0.0118652112007594,1
"Aliatar",1,0.0118652112007594,2
"Aljarafe",1,0.0118652112007594,1
"Almada",1,0.0118652112007594,1
"Almenar",1,0.0118652112007594,5
"Almodóvar",1,0.0118652112007594,1
"Almodóvar del Campo",1,0.0118652112007594,1
"Almoradí",1,0.0118652112007594,2
"Almudena",1,0.0118652112007594,3
"Alora",1,0.0118652112007594,5
"Altaflor",1,0.0118652112007594,1
"Altozana",1,0.0118652112007594,2
"Alvega",1,0.0118652112007594,1
"Amalfi",1,0.0118652112007594,10
"Amiens",1,0.0118652112007594,2
"Ancud",1,0.0118652112007594,2
"Andes",1,0.0118652112007594,1
"Andrada",1,0.0118652112007594,1
"Angalaqui",1,0.0118652112007594,1
"Anglante",1,0.0118652112007594,1
"Angra",1,0.0118652112007594,1
"Anguisola",1,0.0118652112007594,1
"Anguitola",1,0.0118652112007594,1
"Aquiles de Segovia",1,0.0118652112007594,1
"Aracena",1,0.0118652112007594,1
"Arafe",1,0.0118652112007594,2
"Arambel",1,0.0118652112007594,1
"Aran",1,0.0118652112007594,2
"Aranda",1,0.0118652112007594,1
"Arbolán",1,0.0118652112007594,2
"Arcacida",1,0.0118652112007594,1
"Ardea",1,0.0118652112007594,11
"Arga",1,0.0118652112007594,1
"Argán",1,0.0118652112007594,3
"Arganda del Rey",1,0.0118652112007594,1
"Argos",1,0.0118652112007594,1
"Aripa",1,0.0118652112007594,1
"Ariza",1,0.0118652112007594,1
"Arlanzón",1,0.0118652112007594,1
"Arrizafa",1,0.0118652112007594,1
"Asís",1,0.0118652112007594,2
"Asti",1,0.0118652112007594,1
"Astracán",1,0.0118652112007594,2
"Atelia",1,0.0118652112007594,2
"Atienza",1,0.0118652112007594,1
"Audalla",1,0.0118652112007594,1
"Aulide",1,0.0118652112007594,1
"Ausonia",1,0.0118652112007594,1
"Baena",1,0.0118652112007594,1
"Balaguer",1,0.0118652112007594,1
"Baleares",1,0.0118652112007594,1
"Balerma",1,0.0118652112007594,1
"Bamot",1,0.0118652112007594,1
"Baños de la Reina Mora",1,0.0118652112007594,1
"Barajas",1,0.0118652112007594,26
"Barbadillo",1,0.0118652112007594,4
"Barbarigo",1,0.0118652112007594,1
"Barco de Ávila",1,0.0118652112007594,1
"Barfol",1,0.0118652112007594,1
"Bari",1,0.0118652112007594,3
"Barletta",1,0.0118652112007594,17
"Barra de Sanlúcar",1,0.0118652112007594,1
"Barucoa",1,0.0118652112007594,1
"Basel",1,0.0118652112007594,1
"Basilicata",1,0.0118652112007594,2
"Belda",1,0.0118652112007594,1
"Belfor",1,0.0118652112007594,1
"Belmez",1,0.0118652112007594,5
"Belmonte",1,0.0118652112007594,1
"Benamarín",1,0.0118652112007594,1
"Benamejí",1,0.0118652112007594,1
"Benavento",1,0.0118652112007594,1
"Beocia",1,0.0118652112007594,1
"Berlián",1,0.0118652112007594,1
"Bermejas",1,0.0118652112007594,1
"Beserta",1,0.0118652112007594,1
"Beta y Mont",1,0.0118652112007594,2
"Betania",1,0.0118652112007594,3
"Betulia",1,0.0118652112007594,1
"Biafar",1,0.0118652112007594,1
"Biafara",1,0.0118652112007594,1
"Biarni",1,0.0118652112007594,1
"Bibalmazán",1,0.0118652112007594,1
"Bilbao",1,0.0118652112007594,1
